k_x	k_y	k_z	k_A	k_B	k_C	damp_t	damp_r	success	partialSuccess	
127.0	122.0	281.0	64.0	43.0	56.0	0.3	0.1	false	true
166.0	122.0	223.0	69.0	25.0	23.0	0.2	0.6	false	false
124.0	197.0	294.0	58.0	11.0	37.0	0.3	0.8	false	false
124.0	297.0	258.0	48.0	46.0	72.0	0.5	0.1	false	true
151.0	118.0	108.0	69.0	65.0	78.0	0.5	0.6	false	true
236.0	201.0	163.0	74.0	30.0	72.0	0.5	0.8	false	false
148.0	192.0	124.0	79.0	62.0	72.0	0.9	0.1	false	true
214.0	103.0	97.0	77.0	50.0	36.0	0.8	0.4	false	false
270.0	230.0	165.0	32.0	75.0	52.0	0.9	0.8	false	true
192.0	90.0	52.0	71.0	72.0	196.0	0.1	0.1	false	true
285.0	146.0	135.0	70.0	48.0	81.0	0.3	0.5	false	true
168.0	177.0	269.0	20.0	41.0	103.0	0.2	0.8	false	true
137.0	208.0	208.0	47.0	55.0	143.0	0.4	0.3	false	true
72.0	266.0	207.0	63.0	35.0	193.0	0.7	0.4	false	true
282.0	238.0	276.0	61.0	16.0	84.0	0.4	0.9	false	false
278.0	133.0	69.0	79.0	24.0	195.0	0.8	0.2	false	false
73.0	235.0	166.0	62.0	35.0	166.0	0.9	0.6	false	false
212.0	179.0	179.0	22.0	20.0	97.0	0.8	0.8	false	false
273.0	94.0	67.0	63.0	163.0	8.0	0.2	0.2	false	false
92.0	235.0	85.0	34.0	197.0	9.0	0.1	0.6	false	false
255.0	274.0	77.0	57.0	108.0	8.0	0.1	0.8	false	false
277.0	127.0	268.0	64.0	112.0	9.0	0.4	0.1	false	false
202.0	235.0	220.0	39.0	163.0	6.0	0.7	0.6	false	false
228.0	87.0	219.0	59.0	164.0	8.0	0.4	0.8	false	false
193.0	163.0	210.0	35.0	151.0	8.0	0.9	0.2	false	false
268.0	165.0	155.0	31.0	126.0	5.0	0.9	0.5	false	false
143.0	285.0	113.0	69.0	111.0	8.0	0.8	0.8	false	false
275.0	81.0	123.0	55.0	136.0	33.0	0.1	0.2	false	true
195.0	148.0	283.0	48.0	200.0	18.0	0.2	0.6	false	false
105.0	187.0	117.0	62.0	116.0	74.0	0.2	0.8	false	true
248.0	249.0	90.0	68.0	116.0	45.0	0.5	0.2	false	true
75.0	133.0	166.0	62.0	186.0	59.0	0.5	0.4	false	true
59.0	136.0	179.0	71.0	81.0	79.0	0.6	0.8	false	true
150.0	54.0	154.0	38.0	170.0	58.0	0.8	0.2	false	true
285.0	144.0	187.0	52.0	97.0	66.0	0.8	0.7	false	true
290.0	62.0	153.0	59.0	92.0	30.0	0.9	0.9	false	false
103.0	101.0	92.0	36.0	99.0	197.0	0.3	0.3	false	true
93.0	241.0	229.0	45.0	184.0	88.0	0.3	0.5	false	true
195.0	199.0	227.0	69.0	97.0	196.0	0.2	0.8	false	true
79.0	164.0	249.0	41.0	180.0	110.0	0.5	0.1	false	true
179.0	251.0	100.0	56.0	129.0	112.0	0.4	0.7	false	true
83.0	84.0	280.0	78.0	200.0	198.0	0.4	0.9	false	true
159.0	77.0	153.0	17.0	84.0	90.0	0.9	0.3	false	true
158.0	171.0	263.0	19.0	125.0	111.0	0.8	0.5	false	true
274.0	186.0	192.0	59.0	84.0	87.0	0.8	0.8	false	true
276.0	184.0	269.0	96.0	9.0	10.0	0.2	0.2	false	false
198.0	191.0	239.0	84.0	5.0	7.0	0.1	0.4	false	false
94.0	205.0	247.0	170.0	5.0	9.0	0.1	0.9	false	false
165.0	159.0	260.0	112.0	6.0	5.0	0.4	0.3	false	false
280.0	116.0	68.0	171.0	5.0	6.0	0.7	0.6	false	false
120.0	78.0	180.0	132.0	8.0	9.0	0.7	0.9	false	false
60.0	163.0	138.0	85.0	9.0	6.0	0.9	0.1	false	false
252.0	257.0	246.0	106.0	6.0	8.0	0.8	0.4	false	false
197.0	57.0	94.0	136.0	5.0	9.0	0.8	0.8	false	false
142.0	204.0	188.0	109.0	5.0	42.0	0.1	0.2	false	false
233.0	189.0	290.0	94.0	6.0	80.0	0.3	0.6	false	false
132.0	94.0	179.0	199.0	9.0	79.0	0.1	0.9	false	false
223.0	231.0	129.0	167.0	7.0	19.0	0.5	0.1	false	false
60.0	181.0	265.0	148.0	6.0	67.0	0.4	0.4	false	false
83.0	188.0	231.0	107.0	7.0	50.0	0.7	0.9	false	false
140.0	239.0	190.0	110.0	10.0	62.0	0.9	0.3	false	false
131.0	203.0	88.0	89.0	5.0	64.0	0.9	0.4	false	false
81.0	70.0	273.0	155.0	10.0	16.0	0.8	0.8	false	false
286.0	135.0	193.0	165.0	5.0	126.0	0.3	0.1	false	false
80.0	126.0	217.0	137.0	8.0	85.0	0.2	0.4	false	false
72.0	123.0	113.0	119.0	10.0	156.0	0.2	0.8	false	false
149.0	268.0	118.0	169.0	9.0	102.0	0.4	0.3	false	false
185.0	160.0	213.0	146.0	5.0	130.0	0.5	0.5	false	false
75.0	196.0	80.0	87.0	9.0	111.0	0.7	0.8	false	false
258.0	203.0	251.0	175.0	8.0	131.0	0.8	0.1	false	false
195.0	198.0	193.0	139.0	10.0	104.0	0.8	0.4	false	false
98.0	202.0	278.0	183.0	6.0	180.0	0.9	0.8	false	false
289.0	109.0	210.0	155.0	40.0	8.0	0.1	0.2	false	false
193.0	256.0	90.0	155.0	51.0	9.0	0.3	0.6	false	false
105.0	258.0	99.0	137.0	46.0	8.0	0.1	0.9	false	false
165.0	180.0	112.0	153.0	71.0	5.0	0.6	0.2	false	false
85.0	157.0	109.0	153.0	47.0	5.0	0.5	0.4	false	false
241.0	299.0	192.0	85.0	32.0	6.0	0.4	0.8	false	false
123.0	64.0	213.0	180.0	68.0	8.0	0.8	0.3	false	false
180.0	285.0	135.0	115.0	11.0	7.0	0.9	0.4	false	false
182.0	240.0	278.0	155.0	31.0	7.0	0.9	0.8	false	false
213.0	153.0	85.0	193.0	41.0	21.0	0.1	0.1	false	false
160.0	260.0	264.0	89.0	17.0	57.0	0.1	0.5	false	false
202.0	99.0	254.0	168.0	39.0	79.0	0.3	0.8	false	true
132.0	189.0	121.0	81.0	44.0	22.0	0.4	0.1	false	true
124.0	278.0	72.0	170.0	75.0	25.0	0.4	0.4	false	false
285.0	145.0	283.0	89.0	79.0	74.0	0.4	0.9	false	true
146.0	102.0	93.0	155.0	21.0	34.0	0.8	0.1	false	false
197.0	104.0	189.0	104.0	36.0	53.0	0.9	0.6	false	false
75.0	279.0	279.0	110.0	25.0	21.0	0.8	0.8	false	false
160.0	245.0	153.0	149.0	78.0	106.0	0.3	0.2	false	true
127.0	133.0	272.0	170.0	66.0	126.0	0.1	0.4	false	true
