k_x	k_y	k_z	k_A	k_B	k_C	damp_t	damp_r	success	partialSuccess	
131.0	255.0	206.0	26.0	149.0	11.0	0.9	0.6	false	false
144.0	267.0	73.0	63.0	175.0	34.0	0.9	0.9	false	false
260.0	93.0	295.0	61.0	188.0	182.0	0.2	0.2	false	true
150.0	168.0	85.0	33.0	149.0	96.0	0.2	0.5	false	true
270.0	214.0	54.0	71.0	103.0	134.0	0.3	0.8	false	true
291.0	85.0	186.0	71.0	83.0	95.0	0.7	0.1	false	true
180.0	153.0	103.0	40.0	151.0	182.0	0.4	0.5	false	true
128.0	213.0	120.0	39.0	157.0	103.0	0.5	0.8	false	true
179.0	57.0	158.0	57.0	159.0	170.0	0.9	0.1	false	true
93.0	195.0	145.0	79.0	98.0	102.0	0.8	0.5	false	true
109.0	131.0	125.0	19.0	136.0	105.0	0.8	0.9	false	true
120.0	258.0	188.0	119.0	9.0	9.0	0.3	0.2	false	false
141.0	147.0	204.0	104.0	9.0	7.0	0.1	0.4	false	false
133.0	134.0	292.0	111.0	10.0	6.0	0.3	0.8	false	false
85.0	209.0	160.0	84.0	7.0	7.0	0.5	0.1	false	false
84.0	260.0	95.0	199.0	10.0	5.0	0.5	0.6	false	false
170.0	211.0	161.0	124.0	8.0	7.0	0.7	0.9	false	false
192.0	129.0	71.0	83.0	5.0	10.0	0.8	0.2	false	false
94.0	65.0	59.0	175.0	7.0	6.0	0.8	0.4	false	false
267.0	155.0	85.0	99.0	9.0	9.0	0.8	0.8	false	false
173.0	196.0	190.0	107.0	6.0	50.0	0.1	0.3	false	false
274.0	64.0	116.0	180.0	7.0	48.0	0.3	0.6	false	false
133.0	131.0	82.0	147.0	10.0	53.0	0.3	0.9	false	false
198.0	85.0	266.0	182.0	6.0	39.0	0.4	0.3	false	false
133.0	250.0	201.0	191.0	9.0	33.0	0.5	0.4	false	false
233.0	256.0	163.0	93.0	10.0	25.0	0.6	0.9	false	false
261.0	70.0	271.0	120.0	9.0	43.0	0.9	0.3	false	false
136.0	277.0	77.0	190.0	5.0	43.0	0.8	0.5	false	false
214.0	167.0	172.0	155.0	5.0	41.0	0.9	0.8	false	false
188.0	52.0	221.0	150.0	5.0	97.0	0.3	0.1	false	false
280.0	119.0	225.0	141.0	9.0	108.0	0.3	0.7	false	false
144.0	188.0	240.0	192.0	7.0	179.0	0.2	0.9	false	false
284.0	58.0	259.0	160.0	10.0	142.0	0.4	0.3	false	true
170.0	193.0	135.0	191.0	9.0	144.0	0.5	0.5	false	false
109.0	60.0	262.0	197.0	6.0	87.0	0.4	0.8	false	false
157.0	235.0	176.0	120.0	8.0	157.0	0.8	0.2	false	false
256.0	181.0	73.0	134.0	6.0	189.0	0.9	0.4	false	false
240.0	108.0	209.0	153.0	6.0	188.0	0.8	0.8	false	false
196.0	158.0	244.0	174.0	43.0	10.0	0.1	0.3	false	false
84.0	107.0	101.0	83.0	61.0	6.0	0.1	0.5	false	false
146.0	76.0	132.0	117.0	15.0	9.0	0.3	0.9	false	false
221.0	293.0	94.0	112.0	42.0	7.0	0.6	0.1	false	false
167.0	199.0	150.0	81.0	61.0	7.0	0.5	0.5	false	false
128.0	228.0	145.0	196.0	59.0	9.0	0.5	0.9	false	false
138.0	267.0	218.0	167.0	20.0	6.0	0.9	0.1	false	false
61.0	243.0	251.0	170.0	43.0	7.0	0.9	0.6	false	false
229.0	215.0	113.0	192.0	45.0	9.0	0.8	0.9	false	false
279.0	102.0	53.0	172.0	12.0	23.0	0.3	0.1	false	false
87.0	159.0	161.0	103.0	40.0	76.0	0.1	0.6	false	true
275.0	142.0	286.0	172.0	36.0	48.0	0.3	0.8	false	true
51.0	190.0	242.0	197.0	36.0	79.0	0.5	0.3	false	true
220.0	93.0	294.0	144.0	15.0	31.0	0.7	0.7	false	false
236.0	253.0	247.0	135.0	22.0	77.0	0.6	0.9	false	true
112.0	174.0	66.0	108.0	45.0	29.0	0.9	0.2	false	false
195.0	276.0	62.0	153.0	70.0	23.0	0.8	0.4	false	false
265.0	164.0	105.0	192.0	59.0	45.0	0.9	0.9	false	false
258.0	178.0	183.0	88.0	46.0	115.0	0.3	0.2	false	true
250.0	117.0	261.0	97.0	72.0	190.0	0.3	0.5	false	true
294.0	171.0	233.0	156.0	46.0	112.0	0.2	0.9	false	true
220.0	121.0	264.0	117.0	42.0	141.0	0.7	0.1	false	true
292.0	131.0	136.0	91.0	70.0	84.0	0.4	0.4	false	true
268.0	93.0	295.0	94.0	18.0	160.0	0.7	0.9	false	true
270.0	263.0	267.0	180.0	41.0	150.0	0.8	0.2	false	true
231.0	184.0	195.0	155.0	77.0	128.0	0.9	0.7	false	true
127.0	150.0	101.0	137.0	74.0	176.0	0.8	0.8	false	true
70.0	189.0	102.0	118.0	145.0	9.0	0.1	0.3	false	false
58.0	81.0	75.0	110.0	105.0	7.0	0.3	0.6	false	false
169.0	147.0	54.0	165.0	109.0	5.0	0.3	0.8	false	false
148.0	100.0	243.0	90.0	142.0	10.0	0.7	0.2	false	false
62.0	138.0	132.0	139.0	93.0	6.0	0.5	0.4	false	false
286.0	206.0	157.0	81.0	189.0	5.0	0.4	0.8	false	false
194.0	90.0	291.0	142.0	83.0	10.0	0.9	0.3	false	true
164.0	291.0	295.0	102.0	190.0	10.0	0.8	0.5	false	false
145.0	88.0	174.0	158.0	102.0	8.0	0.8	0.8	false	false
108.0	275.0	167.0	123.0	190.0	68.0	0.3	0.3	false	true
255.0	208.0	203.0	183.0	187.0	51.0	0.1	0.5	false	false
183.0	124.0	267.0	178.0	165.0	63.0	0.2	0.8	false	true
284.0	258.0	215.0	134.0	120.0	25.0	0.4	0.1	false	false
279.0	284.0	235.0	132.0	158.0	37.0	0.4	0.7	false	false
110.0	225.0	132.0	89.0	142.0	20.0	0.6	0.9	false	false
91.0	99.0	257.0	102.0	155.0	24.0	0.8	0.3	false	false
256.0	95.0	238.0	162.0	112.0	48.0	0.9	0.4	false	true
116.0	142.0	104.0	107.0	159.0	18.0	0.8	0.8	false	false
159.0	178.0	129.0	191.0	98.0	152.0	0.3	0.2	false	true
181.0	246.0	241.0	179.0	100.0	94.0	0.2	0.7	false	true
131.0	299.0	142.0	160.0	146.0	129.0	0.2	0.9	false	true
113.0	82.0	250.0	163.0	104.0	153.0	0.7	0.2	false	true
71.0	199.0	194.0	85.0	180.0	91.0	0.7	0.7	false	true
196.0	84.0	191.0	160.0	109.0	139.0	0.4	0.9	false	true
114.0	232.0	226.0	135.0	118.0	113.0	0.8	0.2	false	true
180.0	53.0	264.0	196.0	108.0	174.0	0.9	0.6	false	true
191.0	277.0	228.0	115.0	116.0	173.0	0.9	0.8	false	true
206.0	182.0	568.0	5.0	6.0	9.0	0.1	0.3	false	false
115.0	233.0	425.0	8.0	9.0	7.0	0.3	0.4	false	false
146.0	82.0	567.0	9.0	6.0	6.0	0.3	0.9	false	false
199.0	61.0	382.0	5.0	7.0	10.0	0.5	0.2	false	false
236.0	100.0	581.0	10.0	6.0	6.0	0.5	0.6	false	false
253.0	221.0	584.0	5.0	8.0	8.0	0.4	0.9	false	false
197.0	219.0	574.0	6.0	8.0	5.0	0.9	0.1	false	false
223.0	138.0	346.0	9.0	6.0	7.0	0.8	0.4	false	false
82.0	194.0	693.0	7.0	10.0	10.0	0.8	0.8	false	false
151.0	137.0	512.0	7.0	5.0	59.0	0.2	0.1	false	false
236.0	216.0	629.0	10.0	6.0	55.0	0.1	0.6	false	true
265.0	287.0	526.0	5.0	6.0	48.0	0.3	0.8	false	false
296.0	86.0	445.0	10.0	8.0	12.0	0.5	0.2	false	false
180.0	88.0	345.0	10.0	6.0	12.0	0.5	0.5	false	false
92.0	67.0	444.0	6.0	9.0	29.0	0.6	0.9	false	false
193.0	75.0	303.0	8.0	7.0	62.0	0.8	0.2	false	false
217.0	143.0	581.0	6.0	8.0	73.0	0.8	0.5	false	true
99.0	271.0	551.0	9.0	6.0	12.0	0.8	0.9	false	false
241.0	297.0	449.0	6.0	7.0	154.0	0.3	0.2	false	true
109.0	293.0	404.0	9.0	7.0	108.0	0.1	0.5	false	true
89.0	280.0	448.0	9.0	10.0	153.0	0.2	0.9	false	true
142.0	77.0	668.0	7.0	10.0	125.0	0.5	0.1	true	true
176.0	185.0	535.0	5.0	10.0	93.0	0.4	0.5	false	true
64.0	129.0	529.0	6.0	5.0	120.0	0.7	0.9	false	true
84.0	116.0	465.0	9.0	8.0	139.0	0.9	0.2	false	true
284.0	262.0	428.0	9.0	5.0	190.0	0.8	0.4	false	true
70.0	91.0	486.0	7.0	10.0	151.0	0.8	0.9	false	true
200.0	183.0	456.0	6.0	51.0	7.0	0.1	0.3	false	false
277.0	70.0	447.0	9.0	27.0	6.0	0.1	0.4	false	false
54.0	162.0	600.0	8.0	32.0	8.0	0.2	0.8	false	false
76.0	203.0	562.0	10.0	74.0	9.0	0.5	0.3	false	false
72.0	191.0	450.0	7.0	70.0	7.0	0.4	0.5	false	false
238.0	241.0	436.0	7.0	38.0	7.0	0.6	0.9	false	false
217.0	109.0	373.0	10.0	65.0	6.0	0.9	0.1	false	false
272.0	294.0	681.0	8.0	38.0	9.0	0.9	0.7	false	false
228.0	189.0	667.0	5.0	69.0	10.0	0.9	0.8	true	true
77.0	95.0	525.0	8.0	44.0	41.0	0.2	0.1	false	true
288.0	73.0	387.0	9.0	18.0	75.0	0.3	0.6	false	true
293.0	300.0	653.0	9.0	60.0	51.0	0.2	0.8	false	true
79.0	182.0	515.0	5.0	14.0	27.0	0.6	0.1	false	false
211.0	76.0	459.0	6.0	61.0	53.0	0.7	0.7	false	true
160.0	182.0	668.0	7.0	75.0	12.0	0.6	0.9	false	false
72.0	58.0	476.0	7.0	21.0	57.0	0.9	0.2	false	true
148.0	265.0	527.0	8.0	14.0	23.0	0.9	0.7	false	false
214.0	136.0	492.0	8.0	19.0	73.0	0.8	0.8	false	true
78.0	251.0	607.0	8.0	24.0	186.0	0.1	0.3	true	true
102.0	151.0	504.0	6.0	11.0	86.0	0.3	0.6	false	true
291.0	91.0	347.0	10.0	20.0	113.0	0.3	0.8	false	true
199.0	104.0	451.0	8.0	58.0	136.0	0.5	0.3	false	true
244.0	63.0	487.0	8.0	36.0	175.0	0.4	0.5	false	true
189.0	240.0	303.0	6.0	14.0	82.0	0.5	0.8	false	true
133.0	269.0	635.0	8.0	14.0	128.0	0.8	0.3	false	true
211.0	272.0	412.0	7.0	37.0	156.0	0.8	0.6	false	true
278.0	296.0	340.0	7.0	60.0	99.0	0.9	0.9	false	true
149.0	238.0	641.0	9.0	88.0	10.0	0.1	0.3	false	false
127.0	122.0	610.0	7.0	200.0	8.0	0.3	0.4	true	true
120.0	142.0	307.0	7.0	159.0	6.0	0.1	0.9	false	false
190.0	155.0	347.0	8.0	132.0	8.0	0.6	0.1	false	false
145.0	168.0	349.0	6.0	99.0	9.0	0.7	0.7	false	false
58.0	143.0	379.0	8.0	120.0	6.0	0.5	0.8	false	false
65.0	81.0	643.0	8.0	141.0	7.0	0.8	0.1	false	false
100.0	137.0	350.0	10.0	161.0	8.0	0.8	0.7	false	true
112.0	182.0	389.0	5.0	102.0	8.0	0.9	0.8	false	false
147.0	121.0	616.0	10.0	103.0	75.0	0.3	0.1	false	true
231.0	138.0	372.0	8.0	170.0	69.0	0.2	0.6	false	true
192.0	250.0	675.0	7.0	130.0	61.0	0.2	0.8	false	true
184.0	106.0	641.0	7.0	90.0	29.0	0.6	0.1	false	true
217.0	123.0	576.0	5.0	191.0	68.0	0.7	0.6	false	true
216.0	203.0	353.0	8.0	170.0	46.0	0.4	0.8	false	true
228.0	101.0	392.0	5.0	164.0	13.0	0.9	0.1	false	false
275.0	112.0	546.0	6.0	194.0	78.0	0.8	0.4	true	true
59.0	148.0	541.0	8.0	145.0	42.0	0.9	0.8	true	true
210.0	125.0	660.0	10.0	113.0	122.0	0.1	0.3	true	true
